id,carat,cut,color,clarity,depth,table,price,x,y,z
36501,0.41,Very Good,G,VVS1,63.1,57.0,945,4.68,4.73,2.97
50721,0.8,Very Good,H,SI2,62.7,57.0,2294,5.88,5.95,3.71
47530,0.58,Premium,F,VS2,62.4,55.0,1869,5.38,5.36,3.35
50073,0.72,Premium,J,VVS1,61.4,61.0,2203,5.77,5.7,3.52
34315,0.43,Very Good,D,SI2,63.3,57.0,858,4.82,4.79,3.04
32199,0.35,Ideal,E,SI1,62.3,56.0,788,4.56,4.53,2.83
12270,1.0,Good,H,VS2,56.9,63.0,5208,6.6,6.57,3.75
51003,0.59,Premium,D,VS1,61.9,58.0,2326,5.37,5.32,3.31
15607,1.3,Premium,F,SI2,61.1,58.0,6261,7.02,6.98,4.28
49695,0.52,Ideal,D,VS1,60.4,56.0,2146,5.24,5.26,3.17
12981,1.11,Ideal,H,SI1,62.5,56.0,5395,6.65,6.63,4.15
22861,1.76,Ideal,G,SI1,62.1,56.0,10896,7.69,7.77,4.8
51518,0.72,Premium,E,SI1,62.1,58.0,2385,5.72,5.69,3.54
39595,0.4,Ideal,G,SI1,61.3,55.0,1084,4.72,4.81,2.92
9873,1.0,Good,F,SI1,60.1,65.0,4679,6.4,6.44,3.86
39664,0.42,Premium,G,VS2,60.6,58.0,1087,4.88,4.83,2.94
35473,0.33,Premium,G,VVS2,61.5,62.0,901,4.43,4.39,2.71
37251,0.4,Very Good,D,VVS2,58.4,60.0,977,4.81,4.84,2.82
30470,0.31,Very Good,D,SI1,63.4,55.0,732,4.3,4.28,2.72
2571,0.73,Ideal,F,VS1,62.6,56.0,3211,5.73,5.71,3.58
50482,0.55,Ideal,F,VVS2,62.0,55.0,2268,5.26,5.29,3.27
5172,0.71,Ideal,G,IF,61.8,57.0,3772,5.7,5.75,3.54
13106,1.14,Premium,G,SI1,62.7,58.0,5424,6.68,6.63,4.17
29074,0.28,Very Good,E,IF,59.6,55.0,688,4.24,4.31,2.55
523,0.83,Premium,H,SI1,60.0,59.0,2825,6.08,6.05,3.64
24506,1.5,Good,G,VS2,63.6,60.0,12787,7.24,7.2,4.59
43773,0.58,Very Good,F,SI1,62.2,57.0,1440,5.32,5.36,3.32
21659,1.22,Ideal,F,VS1,62.6,55.0,9756,6.86,6.82,4.28
22932,1.7,Ideal,I,SI1,60.4,58.0,10967,7.73,7.67,4.65
2249,1.03,Good,J,SI2,64.1,62.0,3149,6.37,6.33,4.07
15185,1.0,Very Good,F,VS1,58.4,63.0,6098,6.58,6.47,3.81
50900,0.56,Ideal,F,VS2,62.7,55.0,2318,5.32,5.27,3.32
5081,0.91,Ideal,I,VS2,62.2,56.0,3751,6.22,6.18,3.86
46473,0.53,Very Good,E,VS1,63.0,56.0,1776,5.13,5.16,3.24
50042,0.81,Premium,J,SI1,61.8,57.0,2199,6.02,5.96,3.7
25268,2.28,Ideal,G,SI2,61.6,57.0,13907,8.44,8.37,5.18
40949,0.3,Good,F,SI1,63.5,59.0,500,4.19,4.22,2.67
15415,1.05,Good,D,SI1,63.7,59.0,6174,6.42,6.38,4.08
51823,0.71,Very Good,E,SI1,62.0,55.0,2420,5.72,5.76,3.56
30514,0.31,Very Good,D,SI1,63.5,56.0,732,4.31,4.29,2.73
30093,0.32,Premium,H,VS1,61.7,58.0,720,4.41,4.37,2.71
10974,1.02,Premium,D,SI2,62.5,59.0,4907,6.43,6.38,4.0
41107,0.35,Ideal,E,VVS1,62.1,57.0,1195,4.52,4.55,2.81
2982,0.96,Fair,G,SI1,69.7,59.0,3299,6.09,5.9,4.18
2054,0.32,Premium,G,VS2,62.6,59.0,561,4.33,4.36,2.72
53732,0.72,Very Good,E,SI1,63.1,58.0,2723,5.69,5.72,3.6
39493,0.41,Ideal,E,VS1,60.9,57.0,1079,4.76,4.79,2.91
52926,0.71,Ideal,E,SI1,60.3,57.0,2590,5.77,5.81,3.49
599,0.7,Premium,F,VS2,61.7,58.0,2838,5.69,5.63,3.49
45911,0.53,Premium,E,VS2,60.9,60.0,1721,5.16,5.22,3.16
25283,2.1,Premium,J,SI1,62.9,58.0,13930,8.15,8.09,5.11
5259,1.01,Very Good,J,SI2,62.7,55.0,3793,6.42,6.44,4.03
33815,0.4,Ideal,I,VVS1,60.5,57.0,842,4.76,4.79,2.89
16788,0.9,Ideal,D,VS2,61.2,56.0,6689,6.2,6.26,3.81
18854,1.5,Very Good,E,SI2,63.3,57.0,7728,7.28,7.23,4.59
3191,0.9,Fair,E,SI2,64.5,57.0,3342,6.13,6.09,3.94
24019,1.15,Ideal,E,VVS2,61.5,57.0,12193,6.72,6.75,4.14
42822,0.51,Ideal,H,SI1,61.0,57.0,1354,5.17,5.22,3.17
25986,1.74,Ideal,I,VS1,61.8,56.0,15189,7.69,7.73,4.77
43828,0.51,Very Good,G,VS2,63.5,57.0,1443,5.06,5.05,3.21
19776,1.14,Ideal,G,VS1,61.4,57.0,8346,6.75,6.81,4.16
11227,0.83,Ideal,G,VVS1,61.9,56.0,4963,6.03,6.05,3.74
14294,1.34,Very Good,J,SI2,62.3,61.0,5787,6.97,7.05,4.37
5601,1.2,Premium,E,I1,62.3,60.0,3871,6.78,6.71,4.2
52860,0.76,Ideal,H,SI1,62.0,56.0,2578,5.89,5.85,3.64
31605,0.3,Good,H,SI2,63.9,56.0,368,4.24,4.27,2.72
23555,1.51,Very Good,E,SI1,63.1,58.0,11565,7.28,7.23,4.58
44746,0.5,Ideal,E,VS1,62.2,56.0,1619,5.1,5.13,3.18
12014,1.09,Ideal,H,SI1,62.3,57.0,5149,6.58,6.54,4.09
39363,0.52,Premium,F,SI2,61.7,58.0,1073,5.23,5.18,3.15
13177,1.12,Very Good,E,SI1,58.8,61.0,5447,6.74,6.8,3.98
38519,0.34,Ideal,D,VS2,62.1,55.0,1033,4.49,4.46,2.78
36592,0.5,Very Good,J,SI2,60.7,57.0,947,5.11,5.13,3.11
626,0.83,Premium,F,SI2,61.4,59.0,2840,6.08,6.04,3.72
4794,1.1,Premium,J,VS2,61.2,57.0,3696,6.66,6.61,4.06
13136,1.26,Premium,H,SI2,60.9,57.0,5434,7.03,6.96,4.26
2443,0.72,Premium,G,IF,60.1,58.0,3185,5.89,5.86,3.53
4435,0.9,Good,G,SI1,64.5,57.0,3615,6.04,6.09,3.91
33412,0.32,Ideal,G,VS1,60.8,57.0,828,4.42,4.39,2.68
34012,0.43,Ideal,I,VVS1,61.6,54.0,848,4.88,4.92,3.02
50661,0.3,Very Good,E,VS2,62.9,58.0,544,4.27,4.31,2.7
45092,0.64,Good,F,SI1,57.9,64.0,1646,5.76,5.65,3.3
37927,0.23,Good,E,VVS2,63.4,61.0,485,3.85,3.91,2.46
48610,0.7,Fair,E,SI2,64.4,58.0,1998,5.58,5.51,3.57
10765,1.01,Very Good,E,SI1,63.1,55.0,4853,6.41,6.34,4.02
44127,0.5,Ideal,E,VS2,62.0,56.0,1559,5.06,5.1,3.15
43485,0.53,Ideal,F,SI2,61.7,55.0,1421,5.22,5.25,3.23
14489,1.15,Premium,G,SI1,62.6,58.0,5851,6.71,6.65,4.18
24434,1.65,Very Good,H,VS1,62.0,54.0,12686,7.55,7.62,4.7
595,0.76,Very Good,H,SI1,60.9,55.0,2838,5.92,5.94,3.61
29829,0.42,Very Good,F,SI2,61.5,59.0,710,4.81,4.85,2.97
20374,0.31,Premium,G,VS1,62.1,58.0,625,4.31,4.36,2.69
5881,1.01,Good,H,SI2,65.7,60.0,3926,6.17,6.19,4.06
22465,1.52,Premium,D,SI2,61.6,56.0,10487,7.47,7.39,4.58
50963,0.7,Very Good,E,SI2,60.8,57.0,2324,5.66,5.72,3.46
25700,0.35,Premium,D,SI1,61.8,59.0,644,4.54,4.56,2.81
49799,0.73,Ideal,F,SI2,59.6,56.0,2164,5.89,5.85,3.5
29999,0.43,Ideal,D,SI2,61.0,57.0,716,4.81,4.86,2.95
34591,0.34,Ideal,J,VS1,61.9,53.9,469,4.5,4.53,2.79
46296,0.3,Very Good,E,SI1,61.7,56.0,526,4.27,4.29,2.64
39338,0.49,Premium,F,SI1,60.5,60.0,1072,5.1,5.08,3.08
20434,1.51,Very Good,J,VVS2,60.6,58.0,8789,7.36,7.4,4.47
31194,0.36,Premium,E,SI1,62.2,59.0,756,4.57,4.53,2.83
20132,1.12,Ideal,G,VVS2,62.5,56.0,8592,6.59,6.66,4.14
3791,0.91,Very Good,D,SI2,62.0,62.0,3463,6.16,6.25,3.85
2609,0.75,Very Good,F,VS1,60.9,59.0,3220,5.83,5.87,3.56
49001,0.73,Fair,G,SI2,64.7,60.0,2050,5.68,5.64,3.66
73,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68
34218,0.5,Good,I,SI2,65.3,56.0,855,4.91,5.01,3.24
19924,1.56,Very Good,I,SI1,60.2,61.0,8470,7.5,7.59,4.54
27264,2.01,Premium,H,SI1,62.7,59.0,17688,8.03,8.08,5.05
13353,0.24,Very Good,E,VS2,60.1,58.0,419,4.01,4.04,2.42
42505,0.55,Premium,G,SI1,61.8,59.0,1321,5.25,5.2,3.23
317,0.73,Ideal,F,VS2,62.5,55.0,2801,5.8,5.76,3.61
53769,0.7,Very Good,F,VS1,60.5,57.0,2726,5.77,5.8,3.5
41027,0.41,Ideal,E,VVS2,61.5,55.0,1187,4.79,4.83,2.96
18244,1.01,Premium,F,VS1,60.4,59.0,7409,6.54,6.5,3.94
32029,0.35,Ideal,I,IF,62.7,55.0,778,4.51,4.55,2.84
31790,0.42,Very Good,E,SI1,62.3,58.0,773,4.76,4.81,2.98
38956,0.31,Good,H,VS2,63.5,57.0,489,4.32,4.34,2.75
21714,0.33,Very Good,E,VS2,62.8,56.0,627,4.4,4.42,2.77
28232,0.33,Ideal,G,VS1,62.3,54.0,666,4.45,4.48,2.78
45245,0.53,Ideal,G,VS1,62.4,54.0,1659,5.18,5.21,3.24
43287,0.31,Ideal,H,VS2,61.0,57.0,507,4.38,4.41,2.68
49921,0.7,Premium,G,SI1,62.0,61.0,2184,5.67,5.62,3.5
7220,1.1,Very Good,I,SI2,62.6,59.0,4192,6.53,6.57,4.1
47256,0.51,Very Good,G,VVS2,63.5,56.0,1842,5.11,5.07,3.23
46413,0.54,Good,D,SI1,57.9,60.0,1767,5.36,5.39,3.11
19757,1.72,Premium,J,SI1,61.7,58.0,8324,7.71,7.81,4.79
28792,0.3,Very Good,D,VS1,59.7,58.0,681,4.39,4.32,2.6
36763,0.35,Ideal,F,VVS2,62.1,56.0,956,4.56,4.52,2.82
16663,1.56,Very Good,J,SI2,61.4,58.0,6662,7.4,7.45,4.56
9896,1.02,Ideal,I,SI1,61.3,57.0,4685,6.47,6.49,3.97
28151,0.3,Ideal,G,VVS2,61.0,57.0,665,4.31,4.34,2.64
9801,1.04,Ideal,F,SI2,62.1,57.0,4668,6.46,6.48,4.02
17972,1.1,Ideal,H,VVS2,62.0,56.0,7267,6.59,6.63,4.1
19694,0.3,Ideal,G,VS1,62.4,57.0,624,4.3,4.32,2.69
1610,0.78,Very Good,G,VS2,61.3,60.0,3012,5.89,5.96,3.63
34166,0.33,Ideal,G,VS1,61.4,54.0,854,4.48,4.44,2.74
41919,1.03,Fair,E,I1,78.2,54.0,1262,5.72,5.59,4.42
8408,1.07,Ideal,G,SI2,62.0,57.0,4401,6.58,6.55,4.07
13210,1.12,Ideal,H,SI1,60.7,56.0,5457,6.74,6.7,4.08
39932,0.34,Ideal,F,SI1,59.4,57.0,491,4.54,4.58,2.71
41603,0.27,Ideal,H,SI1,61.6,57.0,393,4.13,4.15,2.55
6008,0.97,Very Good,G,SI2,59.8,58.0,3960,6.38,6.42,3.83
7947,1.07,Premium,F,SI2,58.2,58.0,4319,6.79,6.72,3.93
10011,1.13,Ideal,G,SI2,60.8,56.0,4707,6.64,6.72,4.06
6214,0.9,Ideal,H,SI2,62.1,55.0,4001,6.17,6.2,3.84
30480,0.31,Premium,D,SI1,60.2,56.0,732,4.4,4.37,2.64
52715,0.59,Very Good,F,IF,62.8,56.0,2554,5.31,5.36,3.35
52919,0.71,Very Good,E,SI1,59.3,59.0,2590,5.83,5.87,3.47
51700,0.7,Very Good,F,VS2,62.2,56.0,2400,5.7,5.74,3.56
41147,0.5,Very Good,F,SI1,61.0,60.0,1197,5.08,5.11,3.11
29657,0.35,Very Good,G,VS1,61.2,56.0,706,4.53,4.56,2.78
5348,0.9,Premium,D,SI1,62.1,60.0,3812,6.2,6.14,3.83
4391,0.31,Very Good,D,SI1,62.9,56.0,571,4.31,4.34,2.72
7213,1.01,Very Good,H,SI1,63.4,58.0,4191,6.41,6.37,4.05
50277,0.7,Very Good,E,SI1,61.5,56.0,2239,5.74,5.8,3.55
14560,1.0,Premium,D,SI1,61.4,58.0,5880,6.43,6.37,3.93
43712,0.59,Ideal,G,SI1,61.5,57.0,1437,5.36,5.4,3.31
11126,1.0,Ideal,F,SI1,62.4,55.0,4939,6.45,6.37,4.0
39164,0.35,Ideal,D,VS2,61.3,56.0,1063,4.56,4.54,2.79
49434,0.61,Ideal,F,VS2,62.4,55.0,2108,5.45,5.42,3.39
34394,0.34,Ideal,G,VVS1,61.9,54.0,863,4.49,4.52,2.79
17295,1.05,Premium,E,VS2,62.1,58.0,6930,6.5,6.54,4.05
18863,1.31,Premium,H,VS2,59.8,58.0,7732,7.19,7.09,4.27
4526,0.91,Ideal,H,SI1,62.4,57.0,3635,6.18,6.23,3.87
7176,1.01,Premium,I,SI1,61.8,58.0,4185,6.45,6.37,3.96
37546,0.38,Ideal,F,VS1,61.5,55.0,988,4.68,4.69,2.88
255,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61
25041,0.3,Premium,F,SI1,62.1,60.0,641,4.28,4.26,2.65
16276,1.23,Ideal,G,SI1,61.4,56.0,6509,6.94,6.91,4.25
49075,0.64,Very Good,H,VVS2,60.0,59.0,2060,5.59,5.65,3.37
40282,0.3,Ideal,I,VVS2,62.2,56.0,495,4.25,4.3,2.66
17814,1.01,Ideal,G,VS2,61.4,57.0,7179,6.44,6.5,3.97
13392,0.38,Ideal,G,SI2,61.2,56.0,602,4.7,4.74,2.89
6822,0.9,Good,F,SI1,62.5,59.0,4119,6.1,6.13,3.82
46143,0.56,Very Good,D,SI1,63.0,58.0,1746,5.21,5.24,3.29
13655,1.27,Good,J,VS1,63.4,60.0,5588,6.8,6.85,4.33
912,0.79,Ideal,F,SI1,62.8,56.0,2878,5.88,5.9,3.7
3300,0.9,Very Good,F,SI2,62.4,57.0,3368,6.11,6.16,3.83
31417,0.3,Ideal,G,VVS1,61.6,58.0,764,4.31,4.32,2.66
14928,1.59,Premium,E,SI2,62.3,58.0,6010,7.42,7.37,4.61
17206,1.26,Good,G,SI1,63.2,61.0,6874,6.81,6.87,4.32
23888,2.15,Premium,G,SI2,61.2,58.0,11985,8.42,8.3,5.1
46012,0.53,Very Good,G,VS1,63.2,55.0,1727,5.15,5.13,3.25
36641,0.39,Ideal,E,VS1,62.0,54.0,948,4.68,4.71,2.91
39258,0.38,Premium,E,VS1,60.7,59.0,1069,4.73,4.69,2.86
17901,1.09,Ideal,G,VS2,60.6,57.0,7227,6.68,6.73,4.06
3281,0.8,Ideal,E,SI1,61.5,58.0,3362,5.96,6.0,3.68
25751,2.16,Ideal,J,SI1,63.0,55.0,14691,8.2,8.24,5.18
26096,1.5,Premium,F,VS1,59.6,60.0,15338,7.41,7.49,4.44
25652,1.82,Very Good,F,SI1,63.2,56.0,14545,7.71,7.64,4.85
13323,1.0,Good,G,VS2,63.3,60.0,5500,6.29,6.37,4.01
38171,0.34,Ideal,G,IF,61.9,57.0,1014,4.47,4.48,2.77
48564,0.52,Ideal,D,VS1,60.9,56.0,1991,5.19,5.22,3.17
39244,0.51,Very Good,I,VS2,60.3,63.0,1068,5.16,5.13,3.1
31478,0.34,Ideal,H,VS1,62.3,55.0,765,4.48,4.45,2.78
33988,0.42,Premium,H,VS1,61.6,58.0,847,4.79,4.82,2.96
6234,1.1,Premium,H,SI2,62.8,55.0,4004,6.68,6.57,4.16
18035,0.35,Ideal,E,SI1,61.2,57.0,614,4.52,4.56,2.78
50159,0.52,Ideal,D,VVS2,59.9,57.0,2217,5.21,5.28,3.14
15916,1.5,Good,I,SI2,65.0,55.0,6364,7.15,7.24,4.68
33973,0.31,Ideal,G,VVS2,62.7,57.0,846,4.35,4.32,2.72
37622,0.44,Premium,I,VVS1,61.5,58.0,990,4.95,4.87,3.02
22296,1.01,Premium,F,VVS1,60.8,58.0,10341,6.55,6.48,3.96
21858,1.0,Premium,D,VVS2,59.9,61.0,9918,6.5,6.42,3.87
39548,0.32,Ideal,G,VVS1,61.1,53.0,1080,4.44,4.4,2.7
44153,0.54,Good,F,VS2,60.6,61.0,1563,5.22,5.3,3.19
29345,0.31,Premium,G,VS2,59.9,59.0,698,4.4,4.38,2.63
19551,1.62,Premium,J,SI1,62.0,60.0,8183,7.52,7.44,4.64
38270,0.3,Ideal,J,VS2,61.6,56.0,384,4.31,4.33,2.66
14859,1.22,Ideal,H,SI1,61.9,56.0,5985,6.86,6.83,4.24
45016,0.54,Ideal,G,VS2,60.7,56.0,1637,5.29,5.25,3.2
49754,0.72,Very Good,F,SI2,60.4,59.0,2158,5.8,5.83,3.51
20394,0.31,Very Good,G,VS1,62.2,56.0,625,4.32,4.36,2.7
37743,0.31,Ideal,D,VVS2,60.9,57.0,997,4.42,4.38,2.68
30088,0.32,Premium,H,VS1,60.2,58.0,720,4.47,4.43,2.68
22451,1.5,Good,H,VS2,63.6,58.0,10478,7.27,7.22,4.61
764,0.71,Premium,E,VS2,61.5,60.0,2858,5.76,5.68,3.52
3982,1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08
223,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51
19330,1.57,Ideal,J,SI1,62.0,55.6,8035,7.43,7.47,4.62
32153,0.28,Ideal,F,VVS2,61.8,56.0,787,4.18,4.22,2.6
4853,0.71,Ideal,F,VS1,61.3,56.0,3710,5.69,5.75,3.51
24416,1.51,Premium,E,SI1,58.6,62.0,12655,7.58,7.53,4.43
12633,1.0,Premium,F,SI1,60.3,58.0,5292,6.47,6.43,3.89
27865,0.32,Ideal,G,SI1,61.4,56.0,653,4.44,4.42,2.72
13245,1.14,Ideal,E,SI2,62.4,57.0,5473,6.64,6.7,4.16
13946,1.1,Premium,H,VS1,61.3,58.0,5673,6.66,6.61,4.07
15190,1.1,Premium,E,SI1,60.7,55.0,6098,6.75,6.66,4.07
51491,0.71,Premium,F,SI1,63.0,59.0,2381,5.69,5.62,3.56
33427,0.32,Premium,G,VS1,59.2,59.0,828,4.47,4.45,2.64
30725,0.41,Very Good,D,SI1,59.2,62.0,738,4.82,4.85,2.86
39732,0.5,Premium,H,SI1,58.7,59.0,1091,5.15,5.11,3.01
52917,0.72,Good,F,VS2,64.1,64.0,2589,5.66,5.6,3.61
46105,0.52,Ideal,E,VS1,61.7,56.0,1742,5.13,5.18,3.18
26135,1.55,Ideal,F,VS2,61.8,54.0,15426,7.44,7.48,4.61
27295,1.72,Premium,G,VS1,59.4,60.0,17765,7.86,7.82,4.66
41770,0.54,Ideal,E,SI2,60.4,57.0,1246,5.27,5.33,3.2
24110,1.13,Ideal,D,VVS2,60.1,57.0,12261,6.83,6.78,4.09
8053,0.23,Very Good,F,VVS2,61.5,56.0,583,3.95,4.0,2.44
33545,0.35,Ideal,D,VS2,62.0,55.0,829,4.47,4.53,2.79
24701,0.3,Good,H,VVS1,63.1,54.0,638,4.28,4.34,2.72
48303,0.31,Ideal,D,SI1,62.0,56.0,533,4.35,4.39,2.71
20118,1.31,Ideal,H,VS1,61.5,55.0,8583,7.05,7.02,4.33
47102,0.7,Ideal,J,SI2,61.6,57.0,1826,5.68,5.65,3.49
29954,0.33,Good,I,SI1,63.6,57.0,445,4.39,4.42,2.8
49096,0.71,Very Good,I,SI1,60.2,58.0,2063,5.76,5.83,3.49
44469,0.51,Premium,E,SI1,61.5,58.0,1593,5.14,5.11,3.15
3438,0.9,Premium,H,SI1,61.0,59.0,3387,6.16,6.11,3.74
50997,0.31,Premium,G,VS2,60.9,58.0,544,4.35,4.38,2.66
25853,2.06,Good,I,SI1,59.0,64.0,14920,8.39,8.13,4.89
29135,0.33,Very Good,H,VVS1,62.5,55.0,692,4.43,4.47,2.78
10260,1.01,Premium,E,SI2,62.6,59.0,4751,6.39,6.36,3.99
33019,0.33,Ideal,E,VVS2,60.9,56.0,814,4.45,4.48,2.72
11132,1.26,Ideal,E,SI2,62.4,57.0,4939,6.91,6.85,4.29
2248,0.91,Good,G,SI2,62.5,60.0,3149,6.05,6.08,3.79
26042,1.91,Very Good,G,SI1,63.1,59.0,15241,7.9,7.86,4.97
42278,0.23,Very Good,F,VVS1,63.2,58.0,505,3.89,3.93,2.47
10091,1.02,Good,E,SI2,63.2,56.0,4712,6.37,6.41,4.04
36541,0.4,Premium,F,SI1,61.2,58.0,945,4.74,4.71,2.89
53630,0.35,Premium,I,VS1,61.8,58.0,552,4.5,4.53,2.79
33794,0.4,Premium,F,VS2,62.6,58.0,842,4.68,4.72,2.94
35396,0.41,Ideal,G,VS1,59.8,57.0,899,4.81,4.86,2.89
27910,0.26,Very Good,F,VVS1,61.7,57.0,657,4.09,4.13,2.53
45246,0.61,Ideal,G,SI1,61.4,56.0,1659,5.46,5.49,3.36
18222,1.22,Premium,E,SI1,62.3,59.0,7395,6.8,6.74,4.22
5539,0.91,Good,H,SI1,58.2,59.0,3855,6.36,6.4,3.71
38577,0.4,Premium,G,VS2,62.8,61.0,1035,4.67,4.63,2.92
40838,0.41,Good,F,VVS2,58.6,60.0,1172,4.83,4.87,2.84
18661,1.08,Ideal,F,VS2,62.5,57.0,7625,6.52,6.57,4.09
20603,1.5,Ideal,I,SI1,61.8,57.0,8907,7.3,7.34,4.53
46262,0.54,Ideal,E,VS2,61.4,57.0,1754,5.21,5.25,3.21
43569,0.41,Ideal,G,IF,62.3,55.0,1431,4.78,4.75,2.97
627,0.7,Premium,H,VVS1,59.2,60.0,2840,5.87,5.78,3.45
29599,0.35,Premium,H,VVS2,61.9,58.0,706,4.5,4.54,2.8
23024,0.35,Ideal,E,SI2,61.4,56.0,630,4.55,4.51,2.78
19422,1.51,Premium,H,SI2,62.8,60.0,8074,7.26,7.22,4.55
34094,0.43,Ideal,I,SI1,60.9,57.0,852,4.88,4.9,2.98
49592,0.72,Very Good,J,VS1,62.3,57.0,2136,5.73,5.77,3.58
6970,1.01,Good,G,SI2,62.4,60.0,4150,6.32,6.38,3.96
28991,0.34,Premium,F,VS2,59.2,60.0,686,4.56,4.6,2.71
53492,0.71,Very Good,D,SI1,61.0,58.0,2683,5.71,5.87,3.53
15920,1.16,Premium,E,SI1,61.3,60.0,6366,6.7,6.64,4.09
13793,1.01,Very Good,D,SI1,63.3,57.0,5622,6.33,6.37,4.02
11685,1.01,Ideal,H,SI1,61.0,56.0,5062,6.48,6.43,3.94
41965,0.23,Very Good,E,VVS2,62.7,55.0,505,3.9,3.95,2.46
13155,1.01,Good,D,SI1,63.8,58.0,5443,6.34,6.38,4.06
4895,0.9,Very Good,I,VS2,61.2,57.0,3720,6.15,6.2,3.78
17136,1.28,Ideal,I,VS2,61.6,57.0,6838,7.01,6.98,4.31
52220,0.5,Ideal,D,VVS2,61.4,55.0,2482,5.13,5.16,3.16
38621,0.31,Good,H,VS2,63.1,57.0,489,4.27,4.32,2.71
5809,0.91,Very Good,D,SI2,60.8,58.0,3910,6.26,6.31,3.82
17937,1.05,Premium,F,VS2,62.3,59.0,7244,6.5,6.46,4.04
53368,0.7,Premium,E,SI1,58.6,60.0,2657,5.78,5.75,3.38
27192,2.02,Premium,H,SI1,61.1,60.0,17489,8.19,8.11,4.98
16949,1.01,Very Good,F,VS2,62.3,59.0,6770,6.37,6.41,3.98
29117,0.34,Premium,H,VS2,62.6,60.0,689,4.46,4.42,2.78
44234,0.54,Ideal,F,VS2,61.3,57.0,1572,5.28,5.25,3.23
27630,2.22,Ideal,I,VS2,61.3,56.0,18531,8.45,8.36,5.15
12710,0.26,Ideal,F,VVS1,62.4,56.0,599,4.1,4.11,2.56
